@relation PD_11Clusters

@attribute 'Jitter(\%)' numeric
@attribute Jitter(Abs) numeric
@attribute Jitter:RAP numeric
@attribute Jitter:PPQ5 numeric
@attribute Jitter:DDP numeric
@attribute Shimmer numeric
@attribute Shimmer(dB) numeric
@attribute Shimmer:APQ3 numeric
@attribute Shimmer:APQ5 numeric
@attribute Shimmer:APQ11 numeric
@attribute Shimmer:DDA numeric
@attribute NHR numeric
@attribute HNR numeric
@attribute RPDE numeric
@attribute DFA numeric
@attribute PPE numeric
@attribute output numeric

@data
1.199243,0.734965,1.413419,1.322851,1.230283,0.460598,0.938041,0.789997,0.715065,1.135859,0.845283,0.486409,21.89331,1.429099,1.148233,1.651799,11
0.065102,1.100616,-0.530122,0.434572,1.473311,0.942261,1.354789,-0.15126,0.470564,0.97276,-0.388728,-1.042224,32.309295,1.802374,1.41833,0.699495,6
1.377727,-0.861204,0.467712,1.726928,1.575187,1.301382,0.913655,1.465642,1.561848,1.563817,1.953034,-5.468879,31.042475,1.422534,1.429111,0.994266,6
1.755072,-0.354475,-0.411999,1.311587,-0.340588,1.600937,1.021501,0.06438,1.424715,-0.467316,0.31568,0.917347,31.292414,0.94457,1.922081,0.504802,6
1.273702,0.53296,0.917533,1.195303,1.769756,0.052977,1.228342,1.311552,0.034645,0.979279,1.382577,1.410166,21.560576,2.364827,0.777429,1.969552,2
1.632874,0.849559,1.36578,1.582586,1.733128,0.851093,1.904305,0.324238,0.715952,1.271606,1.132964,1.435915,15.799073,1.655034,2.092257,1.979615,5
1.165471,1.237509,-0.405028,-0.93134,-0.033146,1.343215,0.70362,0.640535,0.212031,0.831482,0.199183,-5.261925,36.42211,1.376348,1.89046,1.531115,9
1.101153,0.806026,-0.102206,1.669401,-0.225427,-1.095058,0.843069,-0.226406,-0.713641,-1.964102,0.758342,0.714172,37.669405,1.54014,0.826029,1.128521,9
0.697961,0.921101,-1.259002,1.077556,0.780199,-0.197011,-0.678566,0.621736,0.845556,-0.023021,-2.469289,1.576473,36.095363,0.877379,0.900629,0.445063,9
1.685793,1.178721,1.884161,1.042846,1.621908,1.544872,1.815678,1.235366,1.231892,1.524293,1.477989,1.560228,21.290235,1.147721,1.870975,1.716772,2
1.496695,1.445708,1.487083,1.000878,0.761192,0.864553,1.088515,1.687029,1.00777,1.294117,1.111504,1.568841,27.204569,1.173634,1.542285,1.141461,3
0.819407,0.637983,0.358234,-0.108497,0.760434,0.677657,1.6775,0.626456,0.678242,0.883914,0.451762,1.333287,28.414524,1.22501,1.218687,1.449652,3
0.828356,0.772675,0.534918,1.073844,1.217989,0.950616,1.231681,-1.394689,-0.929036,0.07805,-0.541231,-0.250636,28.377584,1.358538,1.067913,0.986471,3
1.350536,0.370542,0.167522,1.010048,0.425008,0.470359,0.307024,0.069954,0.480476,0.490383,0.888682,0.837389,35.128844,0.894626,2.070737,1.16669,9
1.272202,1.017899,-0.182318,-0.05731,1.143367,0.383765,0.319,-0.296885,1.323068,1.18317,-0.199139,-0.433409,30.687823,1.116701,1.446551,1.340166,6
0.045936,0.847706,0.191764,1.407146,0.961152,-1.391873,0.757884,-0.149558,0.19502,0.916489,0.006542,-1.834495,32.223882,0.613712,1.153096,0.657496,6
1.33675,-0.102463,0.639104,-0.864347,0.822922,0.983653,1.709488,0.382936,0.838098,1.134603,0.075783,0.564542,27.812268,2.188749,2.160896,1.757822,3
1.3798,0.390607,1.211902,0.735254,0.433963,1.022038,1.212227,1.315653,1.252006,0.384714,0.641301,0.706717,30.806037,1.538742,1.698604,1.986169,6
1.182931,1.642902,1.252716,-0.756681,1.109128,-2.080098,1.103582,-0.207568,-1.686204,-0.289914,-1.499564,0.997633,33.025308,1.102714,0.870498,1.175599,9
-0.6668,1.079319,0.211463,1.369551,-0.150334,-2.758325,0.484864,-1.888485,-3.155059,-0.874514,-3.708764,-0.342108,43.731294,0.534662,1.227567,0.232767,8
1.180344,0.642095,1.247561,-0.228586,1.683389,1.888058,1.077159,0.965787,0.668275,1.49281,0.936776,1.54621,28.131208,0.714009,1.861153,1.547973,3
1.596967,-0.710227,0.151747,1.035274,-0.38969,0.102652,-1.421359,-0.332425,0.444839,-1.889914,-0.907281,1.064737,36.380689,2.277087,1.062275,1.291629,9
1.274884,0.774003,1.225116,1.471699,0.594225,1.004483,1.018291,0.968675,1.513784,1.497396,1.30446,0.384871,21.361206,1.565292,1.409647,1.376856,2
1.14879,0.674533,1.644261,-1.427928,1.485705,0.033838,0.00966,-1.343304,-0.297598,-0.099511,-0.597926,1.118914,31.705281,1.377438,1.718945,1.553855,6
1.865909,1.760157,1.680136,1.04007,1.517989,-0.931397,0.927045,0.335687,-1.232731,-0.94407,0.568731,1.764848,30.923284,0.86079,1.847336,1.478164,6
0.675081,0.449581,0.144119,1.517998,0.186189,0.181525,0.35435,0.003904,-0.738951,0.192344,0.181667,1.556909,30.796544,1.291302,1.370488,1.204161,6
0.919147,0.491873,1.497012,0.951391,1.109781,1.787232,1.987989,0.897042,0.703609,1.721783,0.933866,0.913601,23.382819,1.732448,1.843962,1.635854,11
1.567111,1.314784,1.383399,0.891402,1.397234,0.529991,0.892043,1.639795,1.051745,1.147245,1.421403,0.514847,25.064955,1.938877,0.745593,1.583027,3
0.230928,0.768683,0.022117,1.405959,0.712441,1.549042,2.241905,1.706231,1.201339,1.320527,1.632483,-1.321017,28.905627,1.456639,0.535991,2.032032,6
0.234377,0.754703,-0.373862,0.791204,0.477202,1.235406,1.878601,-0.45034,0.435158,0.263128,0.545629,-0.116595,32.51397,1.040677,0.82118,0.552771,6
0.856567,0.076342,0.954671,0.060108,1.046739,1.272617,0.223224,0.841905,0.085492,0.823847,-0.32891,1.335999,27.775744,1.631207,2.217543,0.536975,3
-0.322072,0.237994,0.489712,1.431566,1.162215,1.1869,-0.346148,-0.316346,0.212323,0.038276,0.354932,1.319521,38.810408,1.550348,1.373994,1.00851,8
0.257496,0.168701,-1.973538,0.168246,0.712051,-0.957527,0.251885,-1.034999,-2.164608,-0.6709,-0.316899,-4.539184,43.907334,1.267725,1.315053,1.012321,8
-0.107115,0.049672,-0.469645,1.184073,-0.841283,-0.685359,-0.2088,-1.252237,-0.650618,-0.635513,-1.280947,-1.048783,43.97065,0.523328,0.796755,0.712722,8
1.246968,1.460615,0.892525,0.228836,0.975969,1.116502,1.013917,1.29583,0.772931,0.899074,1.742898,0.831324,29.986075,1.203948,2.101358,1.579144,6
0.812875,1.646669,1.626073,1.355753,1.420852,0.987356,0.140868,1.180284,0.109302,1.811216,0.410043,-1.112254,36.159917,1.680531,1.671872,0.724389,9
-0.339199,-0.703839,-0.332425,-0.110626,0.132616,1.210664,1.369892,0.428458,0.053861,0.70779,0.64899,-3.147357,35.938242,1.034337,1.221738,0.217661,9
-0.606724,0.041961,-2.352887,-0.513865,-0.087931,0.966144,1.001879,-1.248778,-0.268666,-0.383412,0.034913,-3.388204,37.956916,1.521554,1.059828,1.696231,9
1.121448,0.027214,0.743487,0.630082,0.718173,0.12919,0.820205,-0.194739,0.560298,1.752995,-0.066653,0.963547,31.730107,1.460735,1.516315,1.481116,6
0.091909,0.897318,0.339102,-0.012307,0.752043,1.246223,0.299391,0.685139,0.810776,1.209833,0.670048,-1.05031,27.830545,1.218829,2.000132,1.158107,3
0.426799,-0.314957,0.740426,-0.827642,0.465639,0.298966,1.036724,0.313007,0.192262,1.153255,1.287869,1.51201,32.308499,1.300394,1.428087,0.734655,6
0.761783,0.927673,0.602632,0.738629,-0.265899,0.531224,1.105718,0.436348,0.972347,0.867552,0.938434,1.300497,24.150436,1.839299,1.523092,1.590549,11
1.11102,0.859986,1.551276,0.714969,0.912502,1.159487,1.502652,1.230256,1.01114,1.534853,0.771649,1.438083,28.924415,2.21054,1.052117,1.919637,3
0.561599,0.145027,-0.995306,-1.818648,-1.040413,-2.031128,-0.583884,-4.388141,-1.451539,0.982371,-3.323186,0.759146,44.388478,0.853844,2.406426,-0.045879,8
1.231149,0.251011,1.45308,1.640644,1.390504,0.16712,0.559977,0.569831,0.552361,0.467885,1.03044,1.701026,28.058251,1.77168,0.870929,0.784841,3
1.107465,0.762664,1.480824,0.587095,0.475271,1.392902,0.833936,0.924958,1.725452,0.09702,0.474405,1.066768,24.672924,1.587747,1.736212,1.3058,3
1.353422,0.963798,-1.23821,0.011517,0.748604,-1.674241,-3.042849,0.594621,-2.963128,-1.019988,-1.232097,1.121848,36.615422,2.043501,1.833599,1.528897,9
1.069557,1.526079,-0.577331,1.040392,0.406794,0.814898,-0.575139,1.890662,-0.832106,-0.071982,0.692236,0.617659,32.173338,1.604766,1.169681,1.793509,6
-0.285587,-0.039957,0.258799,1.453871,-0.506351,-0.060076,0.450711,1.248449,1.444218,0.790405,-0.317004,0.996211,35.099331,1.218601,1.635348,0.32856,9
1.77895,0.60406,0.378394,0.909467,-0.364894,0.780837,1.648939,-0.490933,0.7037,1.732253,-0.400186,0.098992,26.229322,1.480862,1.562485,1.476978,3
0.829015,1.206685,0.906911,1.102459,1.041267,-0.286204,1.026794,0.075495,1.696472,1.445608,0.980966,1.232105,28.271115,1.67646,0.764704,1.808062,3
-0.09683,0.89646,1.395013,-0.514264,1.386275,1.516176,1.665079,0.334517,0.701321,0.283333,-0.260665,-3.223994,31.758353,1.415507,1.173824,1.716574,6
0.768567,-0.222772,0.766844,1.727983,0.75471,1.368592,1.584736,1.216305,0.638404,1.163369,1.180431,0.564577,28.202425,2.00916,2.261082,1.063505,3
0.852544,0.234059,1.512284,1.549929,1.309848,0.771254,1.361841,0.920461,1.081155,1.610729,1.110839,1.246301,15.945505,1.801849,2.042173,1.861493,7
-1.295823,0.493892,0.738555,0.555202,-0.405009,0.933158,0.48044,0.024868,1.483891,0.989242,1.035985,-1.06085,35.912795,1.344529,1.973248,0.401071,9
-0.109358,-0.224937,1.024039,0.505939,0.452634,0.875759,1.560187,0.376842,1.104529,0.821436,0.882402,-2.007159,30.162825,1.361108,1.240656,1.377555,6
1.193265,0.675652,0.100987,1.228006,0.741898,1.112667,1.824588,1.008011,-0.031337,1.711018,1.537499,0.656973,35.441473,1.90466,2.133678,0.495086,9
0.055247,-0.243874,1.280243,1.041804,-0.204856,0.863911,1.386148,1.305545,1.319221,0.912604,0.982209,-0.582343,30.995823,0.994781,1.404569,1.509159,6
0.745709,-0.577533,-0.478519,0.549352,0.950967,-1.191506,-0.929694,-2.959785,-0.555633,1.335824,1.231288,0.861233,31.783347,1.013775,1.180392,1.666519,6
0.939727,1.096587,0.337462,0.461521,0.947092,0.689811,1.409828,0.632984,1.521743,1.867902,1.397528,1.051938,27.55028,1.343842,1.774746,1.844724,3
0.335662,-1.175027,-0.841989,0.931344,0.654662,1.568027,0.997909,0.061556,-0.065751,1.194503,0.671922,-7.142922,36.011444,1.597469,1.434478,1.403982,9
1.655576,1.187698,0.931339,1.519312,0.536815,1.496365,1.239783,-0.143193,1.142663,0.879669,0.779278,0.191136,30.918734,1.304591,1.027517,1.382021,6
0.251758,-1.190486,0.557704,1.260141,0.103952,-0.004294,0.943607,0.37976,-1.126519,0.220556,-0.620454,-2.792074,34.74577,0.884138,2.100242,1.074234,9
0.660978,-0.668324,1.20169,0.343496,1.482562,-0.292709,-0.869895,0.423768,-0.096657,1.462514,0.421577,-0.500537,32.696587,1.75056,1.793295,1.51485,6
1.167645,1.035491,1.776513,1.117042,1.474505,0.10073,1.685502,0.884,1.305596,0.447856,0.280796,1.624881,28.337486,0.562574,2.075137,0.952643,3
-0.17939,0.541081,-1.6002,-0.482994,-1.572959,0.056393,1.044828,1.260375,0.411888,1.690374,0.594284,0.957717,30.861675,1.379242,1.604934,0.585191,6
-1.401304,0.061473,0.85221,-0.959387,-0.512962,0.625133,0.021534,0.229608,1.174924,-0.75679,-0.741637,-2.361234,32.112979,1.7876,1.545271,0.794157,6
1.848237,1.066626,1.07597,0.543841,1.16448,0.27053,1.51968,-0.037972,-0.316231,0.816158,0.24051,0.443462,28.816198,0.793736,1.914211,1.371769,3
0.268652,0.905912,-0.658904,1.703301,0.170679,1.867157,0.551916,0.1168,-1.337037,-1.605655,-1.415832,0.841132,36.39608,1.786062,1.822583,1.761672,9
1.306088,0.431,1.326625,0.293616,1.146809,0.200232,1.76475,1.247383,0.601129,-0.140251,0.936862,0.865347,32.233814,1.232323,2.225293,1.148562,6
1.477579,0.347832,0.289147,0.808301,0.064729,0.092924,0.68327,-3.179729,-0.055206,-0.170227,-2.271731,1.534877,36.283888,0.335165,0.992156,1.406931,9
-0.058418,-0.856006,1.117341,0.904549,0.258808,-2.629633,1.242243,-2.465416,-0.264812,0.314786,-1.696396,-0.660616,44.357941,1.687678,1.918292,1.333929,8
1.481295,1.013364,0.67684,1.072168,1.159193,0.591522,0.555671,-0.003348,-0.702932,-0.714309,0.157959,0.536141,28.278702,1.350571,1.555572,1.992899,6
0.819221,-0.873057,0.102231,-0.153007,0.36909,0.37286,0.224796,0.25752,0.467494,-0.030561,0.70002,-2.599089,30.956649,0.701433,1.076228,0.348465,6
0.553882,0.840406,1.093548,0.929287,1.537747,0.417286,0.798454,0.112891,-0.414401,-0.969309,-0.31187,1.654995,21.28457,1.256531,1.132974,1.555205,2
1.006358,0.187786,1.329877,0.244603,1.376428,1.178194,1.117313,0.586739,0.347323,-0.389956,0.512722,1.258488,31.235683,0.617224,1.639672,1.201636,6
0.866224,0.904137,1.019679,0.940373,1.073719,1.505959,0.118793,0.544743,0.112061,0.633728,0.622495,0.695486,28.415754,1.258066,1.578997,1.717782,3
0.77457,-0.735623,0.283969,1.529335,1.03293,-1.220423,1.224388,-3.19145,-1.152464,1.437408,-1.50025,1.692629,42.508514,0.692816,1.49262,1.729791,8
0.80616,0.521869,1.554814,1.335396,1.191803,1.180562,2.214395,1.787468,1.886446,1.596736,1.22727,1.189466,19.139331,0.493207,1.351033,0.094895,5
1.10906,-1.355623,1.089692,-1.993363,0.244435,0.299064,-1.51415,-2.48345,0.754621,0.086905,0.245816,0.033342,37.950863,1.242874,0.228655,1.744347,9
0.841025,-1.204338,-0.551634,0.760603,0.310234,0.833123,0.785826,0.04253,0.121458,1.319681,-0.384829,-1.442823,36.140458,1.104527,0.835392,1.638597,9
1.035103,0.901186,0.30278,1.071075,1.15752,0.229249,-0.545826,-2.538075,-1.160251,-0.143444,0.784416,1.623956,35.70918,0.389136,0.885487,1.572854,9
-0.426625,-0.117634,-0.142138,-0.412324,-1.286108,-1.047207,-0.150848,1.682398,-1.65071,0.62662,-1.544468,1.25968,35.54845,1.238403,2.006784,0.159399,9
-0.463395,1.026536,-1.100841,0.121334,0.086886,0.847427,-0.229724,-1.769002,-0.853512,0.35658,1.472908,0.995606,37.866338,0.786729,0.976631,0.937451,8
0.791845,0.154243,0.67832,1.07706,1.697698,0.180248,0.240995,0.001279,0.129992,0.589163,0.975219,1.910904,34.87862,1.874493,1.89655,1.192042,9
0.428795,0.315818,1.972279,-1.459265,-0.743077,0.087691,0.953503,0.214485,1.05692,1.147066,0.350826,-2.852187,31.769838,1.567365,1.237007,1.023793,6
0.829569,-0.770356,0.599087,1.415869,1.033736,-0.224195,1.078033,0.289316,0.696287,-0.275054,1.286587,1.121236,31.395169,1.418423,1.056153,1.507238,6
1.642742,0.278039,0.02186,0.760445,1.81799,-0.367683,1.51675,0.784016,-0.023672,-0.691687,0.434396,0.580104,24.730666,1.620127,1.375561,0.666847,11
1.581348,0.403875,0.43539,0.682089,0.221243,1.111858,1.67729,1.067945,0.255084,-0.587595,0.082244,-1.938368,31.715224,1.630187,1.742266,0.759959,6
1.243211,0.23188,-0.324723,0.274022,0.566703,-0.040427,0.915117,0.822002,0.759628,1.249264,0.019075,1.441962,27.944554,2.11312,1.819077,1.235189,3
0.760483,1.650179,0.014168,1.167995,1.325357,0.902862,1.455142,1.840584,0.560324,0.941593,1.301478,1.398766,26.980579,0.892406,1.316679,0.851871,3
1.183856,-0.932058,-2.188229,-0.30675,-0.209739,-0.83272,-0.508334,0.930292,-2.711996,1.621183,1.815605,-1.880124,36.302953,1.330486,0.939826,1.619557,9
0.585887,-0.314772,1.783976,1.186405,1.908983,1.500021,0.370758,1.301802,1.046184,0.713197,1.783141,1.509577,30.994751,0.380523,2.125708,1.664776,6
-0.291543,1.645574,-0.335414,-1.732517,0.069689,-2.897441,-0.296447,-3.582926,-4.657326,-4.050102,-0.948923,-3.906744,46.171448,-0.348623,0.414463,-1.272109,8
1.005628,-0.217598,0.906137,-0.19123,0.561213,-1.917841,-1.284105,-0.751714,-3.283284,-2.258318,-4.05074,0.503257,36.652045,1.024333,1.675191,1.017553,9
-0.334939,-0.987541,-2.169362,-1.912472,0.781258,-1.977224,-1.941453,-2.150073,0.818104,0.246624,-5.403349,0.514545,44.20469,0.670164,1.799137,-1.013712,8
-0.160255,-3.6921,0.876406,-0.114285,-1.321653,0.392317,-3.727397,-3.755015,-3.66302,-1.062109,-2.536123,-17.988687,45.460637,0.369005,1.600743,1.188694,8
-0.179873,0.89486,0.450579,-0.175032,0.381761,0.873892,0.892892,-1.242774,-1.224604,1.664613,0.787971,-1.035963,37.331754,0.459559,1.337425,1.342413,9
1.365908,-0.273111,0.36968,0.070135,-0.025418,-1.409701,-0.35718,-1.605706,-0.563955,-0.025745,0.180383,-2.951038,37.007568,1.282275,1.378263,1.079998,9
0.383534,1.67561,1.275052,0.835115,-0.312571,-1.620553,-1.474598,-0.099366,-0.722139,0.376815,-3.741375,0.563679,37.968552,0.903063,0.80682,0.577062,9
0.497735,0.910806,-1.011721,0.33432,-0.590096,-0.295791,0.834367,0.591229,-1.872708,0.449094,-1.3046,-0.123862,32.458438,1.501135,1.446208,1.567058,6
0.387669,0.452677,-0.382782,-0.242121,-0.472629,-2.181938,-2.234046,1.632753,-3.592858,-1.305861,-0.430696,-1.06588,36.115044,0.949915,0.670896,1.868662,9
1.841746,0.3974,1.663378,1.055596,1.352636,1.143655,2.089194,1.235322,0.474518,0.555343,0.873582,1.347522,27.812435,1.288453,1.686281,1.53769,3
-0.504718,-1.240118,-1.01989,0.059895,-0.651924,0.360765,-1.550642,0.366234,0.791695,0.368922,1.43358,-4.250155,37.067949,1.528836,1.3588,2.059293,9
1.186692,1.251026,0.81768,0.295258,0.43256,1.41924,0.672029,-0.522592,0.576464,1.170244,-0.586712,1.043816,37.126666,0.588653,0.737636,1.508456,9
-1.778934,-1.333146,-1.692907,0.161062,-2.141484,-0.220463,-2.02742,-3.174191,-1.45244,-1.543739,-0.125327,-11.406664,44.204268,0.890321,1.562057,0.123225,8
0.903113,-0.034828,0.862899,-0.100254,1.137378,1.321607,1.562657,1.116232,1.532544,1.806217,1.406459,-0.230401,25.29076,2.011237,1.774771,1.086917,11
0.896771,0.602827,0.786033,1.217748,1.638987,-0.066345,0.545218,-0.97951,-1.4208,-1.347022,0.072272,1.518657,31.447382,1.757198,2.074565,0.894997,6
-0.524916,-0.043135,0.550119,0.071903,1.967615,1.571928,0.613144,1.538843,0.910654,1.061985,1.207187,0.330696,24.352881,0.673277,1.560086,1.311825,11
1.698742,0.014309,1.852683,0.760677,0.723875,-1.276304,0.200962,-0.628669,-2.168182,0.808866,-0.239861,1.764793,35.713874,1.87213,1.112863,1.427454,9
-0.274431,1.746681,1.473907,1.800884,1.44704,0.390398,0.180681,-0.898327,-1.299415,0.326706,1.661689,-1.709924,35.382524,1.662526,0.845696,1.288968,9
0.883475,1.294849,1.045135,1.462691,0.873141,1.630342,1.586958,1.500634,1.633709,1.631812,1.772463,-1.924362,21.412877,1.122436,1.570695,1.380223,2
0.242584,-0.201473,1.139231,1.071894,0.528308,0.551993,0.62506,-0.086946,-0.314274,1.022975,0.066878,1.227184,32.032294,1.235354,1.355125,1.332473,6
0.619566,-1.982275,-1.111931,1.648278,-0.665989,-0.068661,-0.267799,-0.431037,-2.819278,0.189744,-2.570374,-3.378159,37.738164,1.621953,0.71924,0.284961,9
1.334591,0.299318,1.058433,1.034437,0.018131,0.867779,0.956433,-0.024222,1.975137,1.365832,0.699829,1.159663,31.101585,2.172251,1.831792,0.95679,6
-0.607593,-0.412417,-1.180519,0.859245,0.261882,-1.451758,0.303953,-2.086396,-1.513543,1.562166,1.296357,-0.053334,37.096543,1.667072,1.239363,-0.006965,9
0.617664,-2.164621,-1.874828,-0.00786,1.051073,-2.559169,-2.369587,-0.181789,-0.719531,1.301618,0.47181,0.590361,42.130002,1.44334,1.020568,1.500518,8
1.063656,1.375481,0.744913,1.484972,1.638863,1.470846,1.158146,1.119304,0.982982,0.186167,1.100753,1.099321,31.813215,0.25925,1.434919,1.65244,6
1.467854,1.448477,0.62395,1.476546,1.420342,0.442598,1.710197,1.621363,1.547185,1.48362,1.573092,0.704273,21.276093,1.48144,2.001548,1.607484,2
1.528558,1.025053,0.966011,0.786712,1.443496,1.287491,1.460356,1.018319,1.606163,0.688323,1.272418,0.380696,15.297528,2.21178,2.406623,1.259725,7
1.343467,1.735636,1.722227,1.328647,1.44967,0.257201,1.636318,1.186925,0.570617,0.484676,1.266286,0.070751,18.169441,1.211864,1.456893,1.178718,5
1.691841,0.788816,1.218388,0.831181,1.731678,1.360468,1.718388,1.473825,1.677919,1.067618,1.332222,1.705783,16.027219,1.626011,1.672824,1.343494,7
1.475212,-0.503481,1.213846,0.593926,0.501909,-0.164909,0.388808,1.520901,0.850093,0.670582,0.548214,-0.430484,21.137495,0.972721,1.750714,0.725909,2
0.813098,1.127126,0.899139,1.095301,1.488306,1.100213,0.814735,1.36746,0.564081,0.87052,1.290865,1.012623,19.122633,1.78836,1.858041,0.993968,5
1.249404,0.840741,0.660946,1.290631,1.097206,0.313631,1.490569,1.462858,0.436566,1.374565,1.112861,0.025828,15.091764,2.401207,1.451973,1.041125,7
1.073155,0.812254,-0.099732,0.641283,1.851574,1.65598,1.61946,1.316986,1.134823,2.007134,1.415865,1.515139,18.666609,1.47996,1.569953,0.724834,5
0.320191,1.136445,1.351347,0.711916,0.808072,1.566071,2.071022,1.313365,1.733419,1.333334,1.356801,1.059122,14.510255,1.928959,1.438295,0.983144,7
